Metric,Before,After,Change,Change_Percent
num_nodes,2000.0,2100.0,100.0,5.0
num_edges,7984.0,13934.0,5950.0,74.524048
density,0.003994,0.006322,0.002328,58.294684
avg_degree,7.984,13.270476,5.286476,66.213379
median_degree,5.0,6.0,1.0,20.0
std_degree,9.416514,24.468915,15.0524,159.851085
min_degree,4.0,4.0,0.0,0.0
max_degree,176.0,176.0,0.0,0.0
num_components,1.0,1.0,0.0,0.0
giant_component_size,2000.0,2100.0,100.0,5.0
avg_component_size,2000.0,2100.0,100.0,5.0
largest_component_ratio,1.0,1.0,0.0,0.0
avg_clustering,0.019886,0.068785,0.048899,245.8989
std_clustering,0.052934,0.213936,0.161001,304.151988
avg_shortest_path_length,3.409777,3.386423,-0.023354,-0.684924
diameter,5.0,5.0,0.0,0.0
assortativity,-0.04544,0.766737,0.812177,1787.344142
avg_betweenness,0.004379,0.005335,0.000956,21.842857
max_betweenness,0.236195,0.245422,0.009227,3.906395
avg_eigenvector,0.016593,0.010444,-0.006149,-37.059487
max_eigenvector,0.553124,0.196721,-0.356403,-64.43463
avg_pagerank,0.002,0.002,0.0,0.0
max_pagerank,0.02605,0.025441,-0.000609,-2.337921
modularity,0.324349,0.467763,0.143415,44.216167
num_communities,11.0,3.0,-8.0,-72.727273
transitivity,0.013564,0.776749,0.763185,5626.726458
