Metric,Before,After,Change,Change_Percent
num_nodes,1500.0,1600.0,100.0,6.666667
num_edges,98186.0,104136.0,5950.0,6.059927
density,0.087335,0.081407,-0.005928,-6.787154
avg_degree,130.914667,130.17,-0.744667,-0.568818
median_degree,131.0,130.0,-1.0,-0.763359
std_degree,8.457859,10.577564,2.119704,25.061946
min_degree,106.0,106.0,0.0,0.0
max_degree,158.0,184.0,26.0,16.455696
num_components,1.0,1.0,0.0,0.0
giant_component_size,1500.0,1600.0,100.0,6.666667
avg_component_size,1500.0,1600.0,100.0,6.666667
largest_component_ratio,1.0,1.0,0.0,0.0
avg_clustering,0.436072,0.459452,0.02338,5.361438
std_clustering,0.005676,0.103583,0.097907,1724.856447
avg_shortest_path_length,2.777575,2.717925,-0.05965,-2.147557
diameter,5.0,4.0,-1.0,-20.0
assortativity,-0.001335,0.176111,0.177446,13293.310486
avg_betweenness,0.004945,0.004972,2.7e-05,0.552411
max_betweenness,0.1437,0.105426,-0.038274,-26.634588
avg_eigenvector,0.021231,0.020609,-0.000622,-2.928604
max_eigenvector,0.116951,0.122358,0.005407,4.623003
avg_pagerank,0.002,0.002,0.0,0.0
max_pagerank,0.002569,0.002614,4.4e-05,1.724922
modularity,0.798846,0.785211,-0.013636,-1.706901
num_communities,5.0,5.0,0.0,0.0
transitivity,0.43606,0.450492,0.014432,3.309627
