Metric,Before,After,Change,Change_Percent
num_nodes,1200.0,1300.0,100.0,8.333333
num_edges,95914.0,101864.0,5950.0,6.203474
density,0.133325,0.120642,-0.012683,-9.512904
avg_degree,159.856667,156.713846,-3.142821,-1.966024
median_degree,160.0,159.0,-1.0,-0.625
std_degree,11.1651,18.021388,6.856288,61.408211
min_degree,127.0,109.0,-18.0,-14.173228
max_degree,194.0,212.0,18.0,9.278351
num_components,1.0,1.0,0.0,0.0
giant_component_size,1200.0,1300.0,100.0,8.333333
avg_component_size,1200.0,1300.0,100.0,8.333333
largest_component_ratio,1.0,1.0,0.0,0.0
avg_clustering,0.197449,0.247928,0.050478,25.565228
std_clustering,0.010678,0.179088,0.16841,1577.170023
avg_shortest_path_length,1.866676,1.911441,0.044764,2.398078
diameter,3.0,3.0,0.0,0.0
assortativity,-0.003168,0.404451,0.407619,12867.583703
avg_betweenness,0.001749,0.001907,0.000159,9.072498
max_betweenness,0.003281,0.01663,0.013349,406.87042
avg_eigenvector,0.044404,0.042908,-0.001495,-3.367807
max_eigenvector,0.061389,0.069817,0.008428,13.7288
avg_pagerank,0.002,0.002,0.0,0.0
max_pagerank,0.002591,0.002913,0.000322,12.415532
modularity,0.413811,0.432856,0.019045,4.60224
num_communities,3.0,4.0,1.0,33.333333
transitivity,0.197243,0.220494,0.023251,11.788015
